Maker,Category,Registrations,Year
ADITYA AGRO INDUSTRIES,4WIC,0,2021
AHMED MOTORS,4WIC,0,2021
AJAY ENTERPRISES,4WIC,0,2021
ASHOK LEYLAND LTD,4WIC,0,2021
ASTON MARTIN LAGONDA LTD,4WIC,0,2021
ASTON MARTIN LAGONDA PVT LTD,4WIC,0,2021
AUDI AG,4WIC,0,2021
AUTOMOBILI LAMBORGHINI S.P.A,4WIC,0,2021
BAJAJ AUTO LTD,4WIC,2,2021
BAJAJ IMPLEMENTS PVT LTD,4WIC,0,2021
BENTLEY MOTORS LIMITED,4WIC,0,2021
BMW INDIA PVT LTD,4WIC,2,2021
CHEVROLET SALES INDIA PVT LTD,4WIC,0,2021
CLASSIC LEGENDS PVT LTD,4WIC,0,2021
DAIMLER AG,4WIC,0,2021
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,4WIC,0,2021
DHANNLAXMI AUTOWORKS,4WIC,0,2021
DODGE MOTORS,4WIC,0,2021
DUCATI INDIA PVT LTD,4WIC,0,2021
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),4WIC,0,2021
FCA INDIA AUTOMOBILES PRIVATE LIMITED,4WIC,3,2021
FERRARI INDIA PRIVATE LIMITED,4WIC,0,2021
FERRARI SPA,4WIC,0,2021
FONEX LTD,4WIC,0,2021
FORCE MOTORS LIMITED,4WIC,0,2021
FORD INDIA PVT LTD,4WIC,16,2021
GENERAL MOTORS INDIA PVT LTD,4WIC,0,2021
HERO HONDA MOTORS  LTD,4WIC,0,2021
HERO MOTOCORP LTD,4WIC,0,2021
HINDUSTAN MOTOR CORPORATION,4WIC,0,2021
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,4WIC,0,2021
HONDA CARS INDIA LTD,4WIC,79,2021
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,4WIC,4,2021
HONGHUA INTER CO LTD,4WIC,0,2021
HYUNDAI MOTOR INDIA LTD,4WIC,381,2021
"HYUNDAI MOTORS LTD, SOUTH KOREA",4WIC,0,2021
INDIA YAMAHA MOTOR PVT LTD,4WIC,0,2021
ISUZU MOTORS INDIA PVT LTD,4WIC,0,2021
JAGRUTI MOTORS LTD.,4WIC,0,2021
JAGUAR LAND ROVER INDIA LIMITED,4WIC,0,2021
JANTA SUPER TRAILOR,4WIC,0,2021
JAYEM AUTOMOTIVES PVT LTD,4WIC,0,2021
JCB INDIA LIMITED,4WIC,0,2021
JSW MG MOTOR INDIA PVT LTD,4WIC,16,2021
KIA INDIA PRIVATE LIMITED,4WIC,144,2021
KIA MOTORS CORPN,4WIC,0,2021
KINETIC MOTOR COMPANY LIMITED,4WIC,0,2021
LAMBORGHINI,4WIC,0,2021
MAHESH ENGINEERING WORKS,4WIC,0,2021
MAHINDRA DEFENCE SYSTEMS LTD,4WIC,0,2021
MAHINDRA ELECTRIC MOBILITY LIMITED,4WIC,0,2021
MAHINDRA & MAHINDRA LIMITED,4WIC,54,2021
MAHINDRA & MAHINDRA LIMITED (TRACTOR),4WIC,0,2021
MAHINDRA VEHICLE MANUFACTURER LIMITED,4WIC,0,2021
MAIT S.P.A,4WIC,0,2021
MARUTI INDUSTRIES,4WIC,0,2021
MARUTI SUZUKI INDIA LTD,4WIC,"1,006",2021
MARUTI UDYOG LTD,4WIC,0,2021
MASERATI S.P.A,4WIC,0,2021
MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),4WIC,0,2021
MERCEDES -BENZ AG,4WIC,0,2021
MERCEDES-BENZ INDIA PVT LTD,4WIC,2,2021
MERCURY COUGAR,4WIC,0,2021
MG CAR COMPANY LIMITED,4WIC,0,2021
MITHU BAJRANG ENG.WORKS,4WIC,0,2021
MITSUBISHI MOTORS CORPORATION,4WIC,0,2021
MORRIS MOTORS LTD,4WIC,0,2021
NIRMAL BROTHER,4WIC,0,2021
NISSAN MOTOR INDIA PVT LTD,4WIC,15,2021
NORTON,4WIC,0,2021
OTHERS,4WIC,15,2021
PCA AUTOMOBILES INDIA PVT LTD,4WIC,0,2021
PIAGGIO VEHICLES PVT LTD,4WIC,0,2021
PORSCHE AG,4WIC,0,2021
PORSCHE AG GERMANY,4WIC,0,2021
RELIANT ANDERSON INTL,4WIC,0,2021
RENAULT INDIA PVT LTD,4WIC,105,2021
ROLLS ROYCE,4WIC,0,2021
ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),4WIC,0,2021
ROYAL-ENFIELD (UNIT OF EICHER LTD),4WIC,0,2021
SANSAR INDUSTRIES,4WIC,0,2021
SKODA AUTO AS,4WIC,0,2021
SKODA AUTO INDIA PVT LTD,4WIC,0,2021
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,4WIC,13,2021
SML ISUZU LTD,4WIC,0,2021
SMV,4WIC,0,2021
SUNGLOW FAB LLP,4WIC,0,2021
TATA MOTORS LTD,4WIC,280,2021
TATA MOTORS PASSENGER VEHICLES LTD,4WIC,0,2021
TELCO LTD,4WIC,0,2021
TELSA INC,4WIC,0,2021
TOYOTA KIRLOSKAR MOTOR PVT LTD,4WIC,26,2021
TOYOTA MATERIAL HANDLING INDIA PVT LTD,4WIC,0,2021
TVS MOTOR COMPANY LTD,4WIC,11,2021
VARANI RAJ ESTATE MANAGEMENT,4WIC,0,2021
VE COMMERCIAL VEHICLES LTD,4WIC,0,2021
VINTAGE VEHICLES,4WIC,0,2021
VOLKSWAGEN AG,4WIC,0,2021
VOLKSWAGEN INDIA PVT LTD,4WIC,0,2021
VOLTAS LIMITED,4WIC,0,2021
VOLVO AUTO INDIA PVT LTD,4WIC,0,2021
WILLYS INDIA LTD,4WIC,0,2021
ADITYA AGRO INDUSTRIES,LMV,2,2021
AHMED MOTORS,LMV,1,2021
AJAY ENTERPRISES,LMV,1,2021
ASHOK LEYLAND LTD,LMV,0,2021
ASTON MARTIN LAGONDA LTD,LMV,4,2021
ASTON MARTIN LAGONDA PVT LTD,LMV,4,2021
AUDI AG,LMV,"1,026",2021
AUTOMOBILI LAMBORGHINI S.P.A,LMV,48,2021
BAJAJ AUTO LTD,LMV,104,2021
BAJAJ IMPLEMENTS PVT LTD,LMV,1,2021
BENTLEY MOTORS LIMITED,LMV,28,2021
BMW INDIA PVT LTD,LMV,"8,191",2021
CHEVROLET SALES INDIA PVT LTD,LMV,1,2021
CLASSIC LEGENDS PVT LTD,LMV,1,2021
DAIMLER AG,LMV,127,2021
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,LMV,3,2021
DHANNLAXMI AUTOWORKS,LMV,1,2021
DODGE MOTORS,LMV,1,2021
DUCATI INDIA PVT LTD,LMV,1,2021
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),LMV,1,2021
FCA INDIA AUTOMOBILES PRIVATE LIMITED,LMV,"10,125",2021
FERRARI INDIA PRIVATE LIMITED,LMV,19,2021
FERRARI SPA,LMV,12,2021
FONEX LTD,LMV,2,2021
FORCE MOTORS LIMITED,LMV,"1,061",2021
FORD INDIA PVT LTD,LMV,"34,469",2021
GENERAL MOTORS INDIA PVT LTD,LMV,11,2021
HERO HONDA MOTORS  LTD,LMV,35,2021
HERO MOTOCORP LTD,LMV,10,2021
HINDUSTAN MOTOR CORPORATION,LMV,19,2021
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,LMV,11,2021
HONDA CARS INDIA LTD,LMV,"86,903",2021
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,LMV,9,2021
HONGHUA INTER CO LTD,LMV,1,2021
HYUNDAI MOTOR INDIA LTD,LMV,"5,10,772",2021
"HYUNDAI MOTORS LTD, SOUTH KOREA",LMV,37,2021
INDIA YAMAHA MOTOR PVT LTD,LMV,40,2021
ISUZU MOTORS INDIA PVT LTD,LMV,539,2021
JAGRUTI MOTORS LTD.,LMV,1,2021
JAGUAR LAND ROVER INDIA LIMITED,LMV,"2,259",2021
JANTA SUPER TRAILOR,LMV,1,2021
JAYEM AUTOMOTIVES PVT LTD,LMV,29,2021
JCB INDIA LIMITED,LMV,1,2021
JSW MG MOTOR INDIA PVT LTD,LMV,"38,038",2021
KIA INDIA PRIVATE LIMITED,LMV,"1,66,815",2021
KIA MOTORS CORPN,LMV,7,2021
KINETIC MOTOR COMPANY LIMITED,LMV,1,2021
LAMBORGHINI,LMV,8,2021
MAHESH ENGINEERING WORKS,LMV,3,2021
MAHINDRA DEFENCE SYSTEMS LTD,LMV,4,2021
MAHINDRA ELECTRIC MOBILITY LIMITED,LMV,5,2021
MAHINDRA & MAHINDRA LIMITED,LMV,"1,74,737",2021
MAHINDRA & MAHINDRA LIMITED (TRACTOR),LMV,1,2021
MAHINDRA VEHICLE MANUFACTURER LIMITED,LMV,1,2021
MAIT S.P.A,LMV,2,2021
MARUTI INDUSTRIES,LMV,2,2021
MARUTI SUZUKI INDIA LTD,LMV,"12,84,556",2021
MARUTI UDYOG LTD,LMV,634,2021
MASERATI S.P.A,LMV,23,2021
MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),LMV,4,2021
MERCEDES -BENZ AG,LMV,464,2021
MERCEDES-BENZ INDIA PVT LTD,LMV,"9,593",2021
MERCURY COUGAR,LMV,2,2021
MG CAR COMPANY LIMITED,LMV,2,2021
MITHU BAJRANG ENG.WORKS,LMV,13,2021
MITSUBISHI MOTORS CORPORATION,LMV,27,2021
MORRIS MOTORS LTD,LMV,1,2021
NIRMAL BROTHER,LMV,2,2021
NISSAN MOTOR INDIA PVT LTD,LMV,"35,048",2021
NORTON,LMV,1,2021
OTHERS,LMV,"26,960",2021
PCA AUTOMOBILES INDIA PVT LTD,LMV,423,2021
PIAGGIO VEHICLES PVT LTD,LMV,4,2021
PORSCHE AG,LMV,2,2021
PORSCHE AG GERMANY,LMV,387,2021
RELIANT ANDERSON INTL,LMV,2,2021
RENAULT INDIA PVT LTD,LMV,"93,843",2021
ROLLS ROYCE,LMV,22,2021
ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),LMV,2,2021
ROYAL-ENFIELD (UNIT OF EICHER LTD),LMV,4,2021
SANSAR INDUSTRIES,LMV,1,2021
SKODA AUTO AS,LMV,96,2021
SKODA AUTO INDIA PVT LTD,LMV,523,2021
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,LMV,"39,309",2021
SML ISUZU LTD,LMV,10,2021
SMV,LMV,240,2021
SUNGLOW FAB LLP,LMV,1,2021
TATA MOTORS LTD,LMV,"2,98,576",2021
TATA MOTORS PASSENGER VEHICLES LTD,LMV,4,2021
TELCO LTD,LMV,2,2021
TELSA INC,LMV,1,2021
TOYOTA KIRLOSKAR MOTOR PVT LTD,LMV,"1,14,540",2021
TOYOTA MATERIAL HANDLING INDIA PVT LTD,LMV,1,2021
TVS MOTOR COMPANY LTD,LMV,107,2021
VARANI RAJ ESTATE MANAGEMENT,LMV,1,2021
VE COMMERCIAL VEHICLES LTD,LMV,3,2021
VINTAGE VEHICLES,LMV,136,2021
VOLKSWAGEN AG,LMV,"1,385",2021
VOLKSWAGEN INDIA PVT LTD,LMV,355,2021
VOLTAS LIMITED,LMV,1,2021
VOLVO AUTO INDIA PVT LTD,LMV,"1,342",2021
WILLYS INDIA LTD,LMV,3,2021
ADITYA AGRO INDUSTRIES,MMV,0,2021
AHMED MOTORS,MMV,0,2021
AJAY ENTERPRISES,MMV,0,2021
ASHOK LEYLAND LTD,MMV,0,2021
ASTON MARTIN LAGONDA LTD,MMV,0,2021
ASTON MARTIN LAGONDA PVT LTD,MMV,0,2021
AUDI AG,MMV,0,2021
AUTOMOBILI LAMBORGHINI S.P.A,MMV,0,2021
BAJAJ AUTO LTD,MMV,1,2021
BAJAJ IMPLEMENTS PVT LTD,MMV,0,2021
BENTLEY MOTORS LIMITED,MMV,0,2021
BMW INDIA PVT LTD,MMV,0,2021
CHEVROLET SALES INDIA PVT LTD,MMV,0,2021
CLASSIC LEGENDS PVT LTD,MMV,0,2021
DAIMLER AG,MMV,0,2021
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,MMV,0,2021
DHANNLAXMI AUTOWORKS,MMV,0,2021
DODGE MOTORS,MMV,0,2021
DUCATI INDIA PVT LTD,MMV,0,2021
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),MMV,0,2021
FCA INDIA AUTOMOBILES PRIVATE LIMITED,MMV,0,2021
FERRARI INDIA PRIVATE LIMITED,MMV,0,2021
FERRARI SPA,MMV,0,2021
FONEX LTD,MMV,0,2021
FORCE MOTORS LIMITED,MMV,3,2021
FORD INDIA PVT LTD,MMV,0,2021
GENERAL MOTORS INDIA PVT LTD,MMV,0,2021
HERO HONDA MOTORS  LTD,MMV,0,2021
HERO MOTOCORP LTD,MMV,0,2021
HINDUSTAN MOTOR CORPORATION,MMV,0,2021
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,MMV,0,2021
HONDA CARS INDIA LTD,MMV,0,2021
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,MMV,0,2021
HONGHUA INTER CO LTD,MMV,0,2021
HYUNDAI MOTOR INDIA LTD,MMV,2,2021
"HYUNDAI MOTORS LTD, SOUTH KOREA",MMV,0,2021
INDIA YAMAHA MOTOR PVT LTD,MMV,1,2021
ISUZU MOTORS INDIA PVT LTD,MMV,0,2021
JAGRUTI MOTORS LTD.,MMV,0,2021
JAGUAR LAND ROVER INDIA LIMITED,MMV,0,2021
JANTA SUPER TRAILOR,MMV,0,2021
JAYEM AUTOMOTIVES PVT LTD,MMV,0,2021
JCB INDIA LIMITED,MMV,0,2021
JSW MG MOTOR INDIA PVT LTD,MMV,0,2021
KIA INDIA PRIVATE LIMITED,MMV,0,2021
KIA MOTORS CORPN,MMV,0,2021
KINETIC MOTOR COMPANY LIMITED,MMV,0,2021
LAMBORGHINI,MMV,0,2021
MAHESH ENGINEERING WORKS,MMV,0,2021
MAHINDRA DEFENCE SYSTEMS LTD,MMV,0,2021
MAHINDRA ELECTRIC MOBILITY LIMITED,MMV,0,2021
MAHINDRA & MAHINDRA LIMITED,MMV,3,2021
MAHINDRA & MAHINDRA LIMITED (TRACTOR),MMV,0,2021
MAHINDRA VEHICLE MANUFACTURER LIMITED,MMV,0,2021
MAIT S.P.A,MMV,0,2021
MARUTI INDUSTRIES,MMV,0,2021
MARUTI SUZUKI INDIA LTD,MMV,0,2021
MARUTI UDYOG LTD,MMV,0,2021
MASERATI S.P.A,MMV,0,2021
MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),MMV,0,2021
MERCEDES -BENZ AG,MMV,0,2021
MERCEDES-BENZ INDIA PVT LTD,MMV,0,2021
MERCURY COUGAR,MMV,0,2021
MG CAR COMPANY LIMITED,MMV,0,2021
MITHU BAJRANG ENG.WORKS,MMV,0,2021
MITSUBISHI MOTORS CORPORATION,MMV,0,2021
MORRIS MOTORS LTD,MMV,0,2021
NIRMAL BROTHER,MMV,0,2021
NISSAN MOTOR INDIA PVT LTD,MMV,0,2021
NORTON,MMV,0,2021
OTHERS,MMV,0,2021
PCA AUTOMOBILES INDIA PVT LTD,MMV,0,2021
PIAGGIO VEHICLES PVT LTD,MMV,0,2021
PORSCHE AG,MMV,0,2021
PORSCHE AG GERMANY,MMV,0,2021
RELIANT ANDERSON INTL,MMV,0,2021
RENAULT INDIA PVT LTD,MMV,0,2021
ROLLS ROYCE,MMV,0,2021
ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),MMV,0,2021
ROYAL-ENFIELD (UNIT OF EICHER LTD),MMV,0,2021
SANSAR INDUSTRIES,MMV,0,2021
SKODA AUTO AS,MMV,0,2021
SKODA AUTO INDIA PVT LTD,MMV,0,2021
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,MMV,0,2021
SML ISUZU LTD,MMV,2,2021
SMV,MMV,0,2021
SUNGLOW FAB LLP,MMV,0,2021
TATA MOTORS LTD,MMV,44,2021
TATA MOTORS PASSENGER VEHICLES LTD,MMV,0,2021
TELCO LTD,MMV,0,2021
TELSA INC,MMV,0,2021
TOYOTA KIRLOSKAR MOTOR PVT LTD,MMV,0,2021
TOYOTA MATERIAL HANDLING INDIA PVT LTD,MMV,0,2021
TVS MOTOR COMPANY LTD,MMV,0,2021
VARANI RAJ ESTATE MANAGEMENT,MMV,0,2021
VE COMMERCIAL VEHICLES LTD,MMV,6,2021
VINTAGE VEHICLES,MMV,0,2021
VOLKSWAGEN AG,MMV,0,2021
VOLKSWAGEN INDIA PVT LTD,MMV,0,2021
VOLTAS LIMITED,MMV,0,2021
VOLVO AUTO INDIA PVT LTD,MMV,0,2021
WILLYS INDIA LTD,MMV,0,2021
ADITYA AGRO INDUSTRIES,HMV,0,2021
AHMED MOTORS,HMV,0,2021
AJAY ENTERPRISES,HMV,0,2021
ASHOK LEYLAND LTD,HMV,3,2021
ASTON MARTIN LAGONDA LTD,HMV,0,2021
ASTON MARTIN LAGONDA PVT LTD,HMV,0,2021
AUDI AG,HMV,0,2021
AUTOMOBILI LAMBORGHINI S.P.A,HMV,0,2021
BAJAJ AUTO LTD,HMV,0,2021
BAJAJ IMPLEMENTS PVT LTD,HMV,0,2021
BENTLEY MOTORS LIMITED,HMV,0,2021
BMW INDIA PVT LTD,HMV,0,2021
CHEVROLET SALES INDIA PVT LTD,HMV,0,2021
CLASSIC LEGENDS PVT LTD,HMV,0,2021
DAIMLER AG,HMV,0,2021
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,HMV,0,2021
DHANNLAXMI AUTOWORKS,HMV,0,2021
DODGE MOTORS,HMV,0,2021
DUCATI INDIA PVT LTD,HMV,0,2021
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),HMV,0,2021
FCA INDIA AUTOMOBILES PRIVATE LIMITED,HMV,0,2021
FERRARI INDIA PRIVATE LIMITED,HMV,0,2021
FERRARI SPA,HMV,0,2021
FONEX LTD,HMV,0,2021
FORCE MOTORS LIMITED,HMV,0,2021
FORD INDIA PVT LTD,HMV,0,2021
GENERAL MOTORS INDIA PVT LTD,HMV,0,2021
HERO HONDA MOTORS  LTD,HMV,0,2021
HERO MOTOCORP LTD,HMV,0,2021
HINDUSTAN MOTOR CORPORATION,HMV,0,2021
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,HMV,0,2021
HONDA CARS INDIA LTD,HMV,0,2021
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,HMV,0,2021
HONGHUA INTER CO LTD,HMV,0,2021
HYUNDAI MOTOR INDIA LTD,HMV,0,2021
"HYUNDAI MOTORS LTD, SOUTH KOREA",HMV,0,2021
INDIA YAMAHA MOTOR PVT LTD,HMV,0,2021
ISUZU MOTORS INDIA PVT LTD,HMV,0,2021
JAGRUTI MOTORS LTD.,HMV,0,2021
JAGUAR LAND ROVER INDIA LIMITED,HMV,0,2021
JANTA SUPER TRAILOR,HMV,0,2021
JAYEM AUTOMOTIVES PVT LTD,HMV,0,2021
JCB INDIA LIMITED,HMV,0,2021
JSW MG MOTOR INDIA PVT LTD,HMV,0,2021
KIA INDIA PRIVATE LIMITED,HMV,0,2021
KIA MOTORS CORPN,HMV,0,2021
KINETIC MOTOR COMPANY LIMITED,HMV,0,2021
LAMBORGHINI,HMV,0,2021
MAHESH ENGINEERING WORKS,HMV,0,2021
MAHINDRA DEFENCE SYSTEMS LTD,HMV,0,2021
MAHINDRA ELECTRIC MOBILITY LIMITED,HMV,0,2021
MAHINDRA & MAHINDRA LIMITED,HMV,3,2021
MAHINDRA & MAHINDRA LIMITED (TRACTOR),HMV,0,2021
MAHINDRA VEHICLE MANUFACTURER LIMITED,HMV,0,2021
MAIT S.P.A,HMV,0,2021
MARUTI INDUSTRIES,HMV,0,2021
MARUTI SUZUKI INDIA LTD,HMV,0,2021
MARUTI UDYOG LTD,HMV,0,2021
MASERATI S.P.A,HMV,0,2021
MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),HMV,0,2021
MERCEDES -BENZ AG,HMV,0,2021
MERCEDES-BENZ INDIA PVT LTD,HMV,0,2021
MERCURY COUGAR,HMV,0,2021
MG CAR COMPANY LIMITED,HMV,0,2021
MITHU BAJRANG ENG.WORKS,HMV,0,2021
MITSUBISHI MOTORS CORPORATION,HMV,0,2021
MORRIS MOTORS LTD,HMV,0,2021
NIRMAL BROTHER,HMV,0,2021
NISSAN MOTOR INDIA PVT LTD,HMV,0,2021
NORTON,HMV,0,2021
OTHERS,HMV,0,2021
PCA AUTOMOBILES INDIA PVT LTD,HMV,0,2021
PIAGGIO VEHICLES PVT LTD,HMV,0,2021
PORSCHE AG,HMV,0,2021
PORSCHE AG GERMANY,HMV,0,2021
RELIANT ANDERSON INTL,HMV,0,2021
RENAULT INDIA PVT LTD,HMV,0,2021
ROLLS ROYCE,HMV,0,2021
ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),HMV,0,2021
ROYAL-ENFIELD (UNIT OF EICHER LTD),HMV,0,2021
SANSAR INDUSTRIES,HMV,0,2021
SKODA AUTO AS,HMV,0,2021
SKODA AUTO INDIA PVT LTD,HMV,0,2021
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,HMV,0,2021
SML ISUZU LTD,HMV,0,2021
SMV,HMV,0,2021
SUNGLOW FAB LLP,HMV,0,2021
TATA MOTORS LTD,HMV,25,2021
TATA MOTORS PASSENGER VEHICLES LTD,HMV,0,2021
TELCO LTD,HMV,0,2021
TELSA INC,HMV,0,2021
TOYOTA KIRLOSKAR MOTOR PVT LTD,HMV,0,2021
TOYOTA MATERIAL HANDLING INDIA PVT LTD,HMV,0,2021
TVS MOTOR COMPANY LTD,HMV,0,2021
VARANI RAJ ESTATE MANAGEMENT,HMV,0,2021
VE COMMERCIAL VEHICLES LTD,HMV,5,2021
VINTAGE VEHICLES,HMV,0,2021
VOLKSWAGEN AG,HMV,0,2021
VOLKSWAGEN INDIA PVT LTD,HMV,0,2021
VOLTAS LIMITED,HMV,0,2021
VOLVO AUTO INDIA PVT LTD,HMV,0,2021
WILLYS INDIA LTD,HMV,0,2021
A1 HEAVY EQUIPMENTS DEVELOPER,4WIC,0,2022
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,4WIC,0,2022
ASHOK LEYLAND LTD,4WIC,0,2022
ASTON MARTIN LAGONDA LTD,4WIC,0,2022
ASTON MARTIN LAGONDA PVT LTD,4WIC,0,2022
AUDI AG,4WIC,0,2022
AUSTIN LTD,4WIC,0,2022
AUTOMOBILI LAMBORGHINI S.P.A,4WIC,0,2022
BAJAJ AUTO LTD,4WIC,0,2022
BAJAJ TEMPO LIMITED,4WIC,0,2022
BENTLEY MOTORS LIMITED,4WIC,0,2022
BMW INDIA PVT LTD,4WIC,4,2022
BYD INDIA PRIVATE LIMITED,4WIC,0,2022
CHEVROLET SALES INDIA PVT LTD,4WIC,0,2022
CLASSIC LEGENDS PVT LTD,4WIC,0,2022
DAIMLER AG,4WIC,0,2022
DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,4WIC,0,2022
DODGE MOTORS,4WIC,0,2022
FCA INDIA AUTOMOBILES PRIVATE LIMITED,4WIC,5,2022
FERRARI INDIA PRIVATE LIMITED,4WIC,0,2022
FERRARI SPA,4WIC,0,2022
FORCE MOTORS LIMITED,4WIC,0,2022
FORD INDIA PVT LTD,4WIC,0,2022
GENERAL MOTORS INDIA PVT LTD,4WIC,0,2022
HERO MOTOCORP LTD,4WIC,7,2022
HILLMAN MOTORS LTD,4WIC,0,2022
HINDUSTAN MOTOR CORPORATION,4WIC,0,2022
HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,4WIC,0,2022
HONDA CARS INDIA LTD,4WIC,89,2022
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,4WIC,2,2022
HYUNDAI MOTOR INDIA LTD,4WIC,365,2022
"HYUNDAI MOTORS LTD, SOUTH KOREA",4WIC,0,2022
INDIA YAMAHA MOTOR PVT LTD,4WIC,0,2022
ISUZU MOTORS INDIA PVT LTD,4WIC,0,2022
JAGUAR LAND ROVER INDIA LIMITED,4WIC,0,2022
J.C. BAMFORD EXCAVATORS LIMITED,4WIC,0,2022
JEEP CHEROKEE,4WIC,0,2022
JSW MG MOTOR INDIA PVT LTD,4WIC,5,2022
KIA INDIA PRIVATE LIMITED,4WIC,183,2022
KIA MOTORS CORPN,4WIC,0,2022
LAMBORGHINI,4WIC,0,2022
LEXUS MOTORS LTD,4WIC,0,2022
LOCAL TRAILER MANUFACTURER,4WIC,0,2022
LOTUS CARS,4WIC,0,2022
MAHINDRA DEFENCE SYSTEMS LTD,4WIC,0,2022
MAHINDRA ELECTRIC MOBILITY LIMITED,4WIC,0,2022
MAHINDRA & MAHINDRA LIMITED,4WIC,81,2022
MARUTI INDUSTRIES,4WIC,0,2022
MARUTI SUZUKI INDIA LTD,4WIC,"1,201",2022
MARUTI UDYOG LTD,4WIC,0,2022
MASERATI S.P.A,4WIC,0,2022
MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),4WIC,0,2022
MERCEDES -BENZ AG,4WIC,0,2022
MERCEDES-BENZ INDIA PVT LTD,4WIC,3,2022
MINSK TRACTOR (IMPORTER: ERISHA AGRITECH),4WIC,0,2022
MITSUBISHI MOTORS CORPORATION,4WIC,0,2022
NEW HOLLAND FIAT INDIA PVT. LTD.,4WIC,0,2022
NIRMAL BROTHER,4WIC,0,2022
NISSAN MOTOR INDIA PVT LTD,4WIC,19,2022
OTHERS,4WIC,36,2022
PCA AUTOMOBILES INDIA PVT LTD,4WIC,0,2022
PIAGGIO VEHICLES PVT LTD,4WIC,0,2022
PORSCHE AG,4WIC,0,2022
PORSCHE AG GERMANY,4WIC,0,2022
RENAULT INDIA PVT LTD,4WIC,98,2022
ROLLS ROYCE,4WIC,0,2022
ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD),4WIC,0,2022
